#t	m1	m2	m3
619	0.908	-0.1152	0.4502
620	0.9146	-0.1198	0.4564
621	0.9166	-0.1222	0.4602
622	0.9162	-0.1216	0.464
623	0.9136	-0.1332	0.46
624	0.9098	-0.13	0.4544
625	0.9028	-0.1326	0.4518
626	0.9016	-0.1276	0.4438
627	0.8976	-0.1296	0.441
628	0.8996	-0.1288	0.4306
629	0.9	-0.1258	0.435
630	0.8946	-0.132	0.418
631	0.8996	-0.1346	0.419
632	0.9078	-0.1322	0.41
633	0.9094	-0.13	0.4176
634	0.9138	-0.1334	0.4084
635	0.9132	-0.1208	0.4056
636	0.9102	-0.1264	0.3998
637	0.902	-0.1322	0.3934
638	0.9102	-0.131	0.3922
639	0.9094	-0.1274	0.395
640	0.903	-0.1242	0.402
641	0.8984	-0.113	0.409
642	0.9014	-0.1094	0.4128
643	0.9026	-0.1078	0.4022
644	0.8978	-0.1104	0.3966
645	0.9074	-0.1032	0.3828
646	0.911	-0.1	0.3908
647	0.9098	-0.0964	0.3938
648	0.9046	-0.0972	0.3982
649	0.903	-0.0956	0.3924
650	0.9018	-0.0954	0.3908
651	0.915	-0.0848	0.4004
652	0.9118	-0.0874	0.4002
653	0.9116	-0.0882	0.4034
654	0.9114	-0.0856	0.409
655	0.9074	-0.0888	0.41
656	0.903	-0.0838	0.4228
657	0.9018	-0.0824	0.4306
658	0.907	-0.0932	0.4314
659	0.9072	-0.0856	0.4266
660	0.8974	-0.0944	0.4216
661	0.8996	-0.099	0.4198
662	0.9	-0.102	0.4132
663	0.9094	-0.1036	0.4194
664	0.9102	-0.101	0.4246
665	0.9128	-0.1042	0.4324
666	0.9106	-0.0954	0.4338
667	0.917	-0.0856	0.4342
668	0.9164	-0.0808	0.4388
669	0.9212	-0.082	0.4328
670	0.9158	-0.0782	0.4262
671	0.9114	-0.0728	0.4274
672	0.9126	-0.0726	0.4212
673	0.91	-0.0616	0.4322
674	0.9134	-0.059	0.4252
675	0.9088	-0.0632	0.4244
676	0.913	-0.0574	0.4228
677	0.907	-0.0612	0.4208
678	0.9108	-0.0612	0.4194
679	0.9096	-0.0636	0.4264
680	0.9056	-0.058	0.4264
681	0.9022	-0.0626	0.4238
682	0.9042	-0.0628	0.4202
683	0.902	-0.07	0.4228
684	0.9002	-0.0754	0.4246
685	0.9066	-0.0776	0.436
686	0.908	-0.0764	0.4288
687	0.9116	-0.0742	0.428
688	0.9068	-0.0748	0.4282
689	0.9146	-0.0786	0.4304
690	0.9074	-0.0804	0.4292
691	0.9052	-0.076	0.4252
692	0.91	-0.0802	0.43
693	0.9186	-0.079	0.4306
694	0.9134	-0.072	0.4368
695	0.9136	-0.082	0.4342
696	0.9184	-0.0826	0.4432
